time,from,to
0,40,12
1,12,30
1,40,70
2,12,80
2,30,32
2,70,35
2,70,99
3,30,72
3,32,92
3,32,94
3,35,6
3,35,34
3,40,34
4,32,7
4,35,41
4,72,21
4,80,20
4,92,77
5,20,62
5,40,46
5,72,54
5,80,88
6,88,10
6,88,26
6,88,76
7,26,69
7,46,56
7,76,29
7,76,75
7,88,91
8,26,87
8,54,0
8,54,58
8,54,98
8,56,0
8,69,1
8,75,24
8,75,60
8,76,87
9,29,2
9,60,93
9,69,42
9,76,22
9,76,82
9,88,42
9,98,5
9,98,79
10,1,67
10,5,85
10,10,85
10,24,57
10,42,55
10,93,28
10,98,67
11,22,61
11,85,50
11,91,50
12,22,39
12,22,71
12,28,4
12,61,23
12,61,64
13,22,44
13,39,3
13,64,47
13,71,49
13,71,73
13,71,78
14,22,17
14,22,95
14,23,11
14,23,38
14,44,37
14,78,17
15,17,14
15,17,18
15,17,36
15,38,14
15,39,14
15,44,14
15,49,14
15,73,18
16,18,81
16,39,74
17,38,51
17,38,96
