HH_10,HH_9,HH_8,HH_1,HH_3,HH_2,HH_5,HH_4,HH_7,HH_6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,9,0,0,0,0,0
0,0,0,0,9,0,0,0,0,0
0,0,0,0,9,0,0,0,0,0
0,0,0,0,9,0,0,0,0,0
0,0,0,0,9,0,0,0,0,0
0,0,0,0,9,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12,0,0,0
0,0,0,13,0,0,12,0,0,0
0,0,0,13,0,0,12,0,0,0
0,0,0,13,0,0,0,0,0,0
0,0,0,13,0,0,0,0,0,0
0,0,0,13,0,0,0,0,0,0
0,0,0,13,0,0,0,0,0,0
0,0,0,13,0,0,0,0,0,0
0,0,0,13,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
